ticker,date,equity,weekly_return_pct,cum_return_pct
AAPL,2022-01-07,10000.0,0.0,0.0
AAPL,2022-01-14,10000.0,0.0,0.0
AAPL,2022-01-21,9862.476389038195,-1.3752361096180499,-1.3752361096180499
AAPL,2022-01-28,10343.424564527168,4.876545773265728,3.434245645271683
AAPL,2022-02-04,10468.51955144297,1.2094155676913632,4.685195514429696
AAPL,2022-02-11,10240.797824794665,-2.1753001991281273,2.4079782479466516
AAPL,2022-02-18,10149.266058039979,-0.8937952718202524,1.492660580399785
AAPL,2022-02-25,10149.266058039979,0.0,1.492660580399785
AAPL,2022-03-04,10149.266058039979,0.0,1.492660580399785
AAPL,2022-03-11,10139.116791981938,-0.10000000000001119,1.3911679198193916
AAPL,2022-03-18,10514.55044047126,3.7028239854798306,5.1455044047125975
AAPL,2022-03-25,10782.35762374227,2.547015060579305,7.823576237422691
AAPL,2022-04-01,11032.973720670283,2.324316310712682,10.329737206702827
AAPL,2022-04-08,11032.973720670283,0.0,10.329737206702827
AAPL,2022-04-15,11032.973720670283,0.0,10.329737206702827
AAPL,2022-04-22,11032.973720670283,0.0,10.329737206702827
AAPL,2022-04-29,11032.973720670283,0.0,10.329737206702827
AAPL,2022-05-06,11032.973720670283,0.0,10.329737206702827
AAPL,2022-05-13,11067.834198027414,0.3159662865127588,10.678341980274153
AAPL,2022-05-20,10351.595815762761,-6.47135084831959,3.515958157627619
AAPL,2022-05-27,11258.178884957551,8.757906368545632,12.581788849575503
AAPL,2022-06-03,10937.677813034845,-2.8468287384466717,9.376778130348452
AAPL,2022-06-10,10316.988317046214,-5.67478313585843,3.16988317046214
AAPL,2022-06-17,9897.9283123526,-4.061844327197928,-1.0207168764739927
AAPL,2022-06-24,10657.80318482208,7.677110284999311,6.578031848220789
AAPL,2022-07-01,10452.41056141027,-1.9271572185186603,4.5241056141027025
AAPL,2022-07-08,11062.567190659554,5.837472855323433,10.625671906595535
AAPL,2022-07-15,11298.053391041958,2.128675888009357,12.980533910419577
AAPL,2022-07-22,11676.083984634119,3.345979882622041,16.76083984634118
AAPL,2022-07-29,11676.083984634119,0.0,16.76083984634118
AAPL,2022-08-05,11676.083984634119,0.0,16.76083984634118
AAPL,2022-08-12,11961.60872887449,2.4453810422751854,19.616087288744886
AAPL,2022-08-19,11961.60872887449,0.0,19.616087288744886
AAPL,2022-08-26,11961.60872887449,0.0,19.616087288744886
AAPL,2022-09-02,11961.60872887449,0.0,19.616087288744886
AAPL,2022-09-09,11961.60872887449,0.0,19.616087288744886
AAPL,2022-09-16,11949.647120145615,-0.10000000000000009,19.496471201456146
AAPL,2022-09-23,11928.23732689958,-0.1791667404968056,19.2823732689958
AAPL,2022-09-30,10947.51020404982,-8.221894786064532,9.475102040498196
